indicator_id,country_id,year,type,metadata
20062,BGD,1979,Source:Data sources,NA
20062,BGD,1980,Data Status:Data reporting,NA
20062,BGD,1980,Source:Data sources,NA
20062,BGD,1981,Data Status:Data reporting,NA
20062,BGD,1981,Source:Data sources,NA
20062,BGD,1982,Data Status:Data reporting,NA
20062,BGD,1982,Source:Data sources,NA
20062,BGD,1983,Data Status:Data reporting,NA
20062,BGD,1983,Source:Data sources,NA
20062,BGD,1984,Data Status:Data reporting,NA
20062,BGD,1984,Source:Data sources,NA
20062,BGD,1985,Data Status:Data reporting,NA
20062,BGD,1985,Source:Data sources,NA
20062,BGD,1986,Data Status:Data reporting,NA
20062,BGD,1986,Source:Data sources,NA
20062,BGD,1987,Data Status:Data reporting,NA
20062,BGD,1987,Source:Data sources,NA
20062,BGD,1988,Data Status:Data reporting,NA
20062,BGD,1988,Source:Data sources,NA
20062,BGD,1989,Data Status:Data reporting,NA
20062,BGD,1989,Source:Data sources,NA
20062,BGD,1990,Data Status:Data reporting,NA
20062,BGD,1990,Source:Data sources,NA
20062,BGD,2005,Data Status:Data reporting,NA
20062,BGD,2005,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20062,BGD,2006,Data Status:Data reporting,NA
20062,BGD,2006,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20062,BGD,2007,Data Status:Data reporting,NA
20062,BGD,2007,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20062,BGD,2008,Data Status:Data reporting,NA
20062,BGD,2008,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20062,BGD,2009,Data Status:Data reporting,NA
20062,BGD,2009,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20062,BGD,2010,Source:Data sources,Source: UIS Dynamic template based on UIS Education Survey
20062,BGD,2017,Source:Data sources,Source: UIS Dynamic template based on UIS Education Survey
20062,BGD,2018,Source:Data sources,Source: UIS Dynamic template based on UIS Education Survey
20062,BGD,2020,Data Status:Data reporting,NA
20062,BGD,2020,Source:Data sources,Country's submission to UIS SFE Questionnaire A
20062,BGD,2021,Source:Data sources,Source: UIS Dynamic template based on data provided by country
20062,BGD,2022,Source:Data sources,Source: UIS Dynamic template based on data provided by country
20062,BGD,2023,Source:Data sources,Source: UIS Dynamic template based on data provided by country
20062,BGD,2024,Source:Data sources,Source: UIS Dynamic template based on data provided by country
20063,BGD,1970,Data Status:Data reporting,NA
20063,BGD,1970,Source:Data sources,NA
20063,BGD,1971,Data Status:Data reporting,NA
20063,BGD,1971,Source:Data sources,NA
20063,BGD,1972,Data Status:Data reporting,NA
20063,BGD,1972,Source:Data sources,NA
20063,BGD,1973,Data Status:Data reporting,NA
20063,BGD,1973,Source:Data sources,NA
20063,BGD,1974,Data Status:Data reporting,NA
20063,BGD,1974,Source:Data sources,NA
20063,BGD,1975,Data Status:Data reporting,NA
20063,BGD,1975,Source:Data sources,NA
20063,BGD,1976,Data Status:Data reporting,NA
20063,BGD,1976,Source:Data sources,NA
20063,BGD,1977,Data Status:Data reporting,NA
20063,BGD,1977,Source:Data sources,NA
20063,BGD,1978,Data Status:Data reporting,NA
20063,BGD,1978,Source:Data sources,NA
20063,BGD,1979,Data Status:Data reporting,NA
20063,BGD,1979,Source:Data sources,NA
20063,BGD,1980,Data Status:Data reporting,NA
20063,BGD,1980,Source:Data sources,NA
20063,BGD,1981,Data Status:Data reporting,NA
20063,BGD,1981,Source:Data sources,NA
20063,BGD,1982,Data Status:Data reporting,NA
20063,BGD,1982,Source:Data sources,NA
20063,BGD,1983,Data Status:Data reporting,NA
20063,BGD,1983,Source:Data sources,NA
20063,BGD,1984,Data Status:Data reporting,NA
20063,BGD,1984,Source:Data sources,NA
20063,BGD,1985,Data Status:Data reporting,NA
20063,BGD,1985,Source:Data sources,NA
20063,BGD,1986,Data Status:Data reporting,NA
20063,BGD,1986,Source:Data sources,NA
20063,BGD,1987,Data Status:Data reporting,NA
20063,BGD,1987,Source:Data sources,NA
20063,BGD,1988,Data Status:Data reporting,NA
20063,BGD,1988,Source:Data sources,NA
20063,BGD,1989,Data Status:Data reporting,NA
20063,BGD,1989,Source:Data sources,NA
20063,BGD,1990,Data Status:Data reporting,NA
20063,BGD,1990,Source:Data sources,NA
20063,BGD,2005,Data Status:Data reporting,NA
20063,BGD,2005,Source:Data sources,Country's submission to UIS SFE Questionnaire A
