indicator_id,country_id,year,value,magnitude,qualifier
CR.1.M,BGD,2013,66.2,,
CR.1.M,BGD,2014,75.05403137207031,,
CR.1.M,BGD,2019,76.30297088623047,,
CR.1.M,BGD,2022,83.28727722167969,,
CR.1.M.DPIA,BGD,2011,.4489299952983856,,
CR.1.M.LPIA,BGD,2006,.9221000075340271,,
CR.1.M.LPIA,BGD,2011,.9038299918174744,,
CR.1.M.LPIA,BGD,2014,.9814299941062927,,
CR.1.M.LPIA,BGD,2019,.9718800187110901,,
CR.1.M.LPIA,BGD,2022,1.041800022125244,,
CR.1.M.WPIA,BGD,2006,.523580014705658,,
CR.1.M.WPIA,BGD,2011,.4916700124740601,,
CR.1.M.WPIA,BGD,2014,.6564099788665771,,
CR.1.M.WPIA,BGD,2019,.7044399976730347,,
CR.1.M.WPIA,BGD,2022,.8378400206565857,,
CR.1.Q1,BGD,2004,36.41,,
CR.1.Q1,BGD,2006,52.05036926269531,,
CR.1.Q1,BGD,2007,43.75,,
CR.1.Q1,BGD,2011,47.34284973144531,,
CR.1.Q1,BGD,2013,50.72,,
CR.1.Q1,BGD,2014,62.41156005859375,,
CR.1.Q1,BGD,2019,70.44136047363281,,
CR.1.Q1,BGD,2022,81.61006164550781,,
CR.1.Q1.F,BGD,2004,43.05,,
CR.1.Q1.F,BGD,2006,59.7076301574707,,
CR.1.Q1.F,BGD,2007,52.14,,
CR.1.Q1.F,BGD,2011,52.20632934570313,,
CR.1.Q1.F,BGD,2013,58.29,,
CR.1.Q1.F,BGD,2014,67.59535980224609,,
CR.1.Q1.F,BGD,2019,79.27017974853516,,
CR.1.Q1.F,BGD,2022,86.74768829345703,,
CR.1.Q1.F.LPIA,BGD,2006,.9480900168418884,,
CR.1.Q1.F.LPIA,BGD,2011,.8691999912261963,,
CR.1.Q1.F.LPIA,BGD,2014,.7877699732780457,,
CR.1.Q1.F.LPIA,BGD,2019,.9958500266075134,,
CR.1.Q1.F.LPIA,BGD,2022,1.095149993896484,,
CR.1.Q1.GPIA,BGD,2006,1.251240015029907,,
CR.1.Q1.GPIA,BGD,2011,1.185770034790039,,
CR.1.Q1.GPIA,BGD,2014,1.155359983444214,,
CR.1.Q1.GPIA,BGD,2019,1.218070030212402,,
CR.1.Q1.GPIA,BGD,2022,1.115630030632019,,
CR.1.Q1.LPIA,BGD,2006,1.000869989395142,,
CR.1.Q1.LPIA,BGD,2011,.8914899826049805,,
CR.1.Q1.LPIA,BGD,2014,.8360400199890137,,
CR.1.Q1.LPIA,BGD,2019,1.061259984970093,,
CR.1.Q1.LPIA,BGD,2022,1.079820036888123,,
CR.1.Q1.M,BGD,2004,27.66,,
CR.1.Q1.M,BGD,2006,44.70695877075195,,
CR.1.Q1.M,BGD,2007,35.76,,
CR.1.Q1.M,BGD,2011,42.50801849365234,,
CR.1.Q1.M,BGD,2013,44.27,,
CR.1.Q1.M,BGD,2014,57.09346008300781,,
CR.1.Q1.M,BGD,2019,61.98398971557617,,
CR.1.Q1.M,BGD,2022,76.71742248535156,,
CR.1.Q1.M.LPIA,BGD,2006,1.139000058174133,,
CR.1.Q1.M.LPIA,BGD,2011,.9731400012969971,,
CR.1.Q1.M.LPIA,BGD,2014,.878849983215332,,
CR.1.Q1.M.LPIA,BGD,2019,1.179000020027161,,
CR.1.Q1.M.LPIA,BGD,2022,1.056679964065552,,
CR.1.Q2,BGD,2004,56.10000000000001,,
CR.1.Q2,BGD,2006,64.72682189941406,,
CR.1.Q2,BGD,2007,58.95,,
CR.1.Q2,BGD,2011,68.81936645507813,,
CR.1.Q2,BGD,2013,67.06999999999999,,
CR.1.Q2,BGD,2014,77.20143127441406,,
CR.1.Q2,BGD,2019,79.87892913818359,,
CR.1.Q2,BGD,2022,87.18010711669922,,
CR.1.Q2.F,BGD,2004,62.19,,
CR.1.Q2.F,BGD,2006,72.40133666992188,,
CR.1.Q2.F,BGD,2007,63.23999999999999,,
CR.1.Q2.F,BGD,2011,74.79631042480469,,
CR.1.Q2.F,BGD,2013,75.36,,
CR.1.Q2.F,BGD,2014,83.31269073486328,,
CR.1.Q2.F,BGD,2019,88.15682983398438,,
CR.1.Q2.F,BGD,2022,93.74539947509766,,
CR.1.Q2.F.LPIA,BGD,2006,1.045240044593811,,
CR.1.Q2.F.LPIA,BGD,2011,1.072090029716492,,
CR.1.Q2.F.LPIA,BGD,2014,1.153079986572266,,
CR.1.Q2.F.LPIA,BGD,2019,1.199569940567017,,
CR.1.Q2.F.LPIA,BGD,2022,1.057139992713928,,
CR.1.Q2.GPIA,BGD,2006,1.210100054740906,,
CR.1.Q2.GPIA,BGD,2011,1.174569964408875,,
CR.1.Q2.GPIA,BGD,2014,1.15353000164032,,
CR.1.Q2.GPIA,BGD,2019,1.177060008049011,,
CR.1.Q2.GPIA,BGD,2022,1.153759956359863,,
CR.1.Q2.LPIA,BGD,2006,1.099769949913025,,
CR.1.Q2.LPIA,BGD,2011,1.072110056877136,,
CR.1.Q2.LPIA,BGD,2014,1.115350008010864,,
CR.1.Q2.LPIA,BGD,2019,1.117329955101013,,
CR.1.Q2.LPIA,BGD,2022,1.095080018043518,,
CR.1.Q2.M,BGD,2004,48.1,,
CR.1.Q2.M,BGD,2006,57.18946075439453,,
CR.1.Q2.M,BGD,2007,54.47,,
CR.1.Q2.M,BGD,2011,61.73947143554688,,
CR.1.Q2.M,BGD,2013,59.77,,
CR.1.Q2.M,BGD,2014,70.52163696289063,,
CR.1.Q2.M,BGD,2019,72.5477294921875,,
CR.1.Q2.M,BGD,2022,79.33151245117188,,
CR.1.Q2.M.LPIA,BGD,2006,1.167529940605164,,
CR.1.Q2.M.LPIA,BGD,2011,1.045609951019287,,
CR.1.Q2.M.LPIA,BGD,2014,1.091920018196106,,
CR.1.Q2.M.LPIA,BGD,2019,1.027420043945313,,
CR.1.Q2.M.LPIA,BGD,2022,1.168190002441406,,
