indicator_id,country_id,year,type,metadata
AIR.2.GPV.GLAST.GPIA,BGD,2006,Source:Data sources,Country's submission to UIS SFE Questionnaire A
AIR.2.GPV.GLAST.GPIA,BGD,2007,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
AIR.2.GPV.GLAST.GPIA,BGD,2007,Source:Data sources,Country's submission to UIS SFE Questionnaire A
AIR.2.GPV.GLAST.GPIA,BGD,2009,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
AIR.2.GPV.GLAST.GPIA,BGD,2009,Source:Data sources,Country's submission to UIS SFE Questionnaire A
AIR.2.GPV.GLAST.GPIA,BGD,2010,Source:Data sources,Source: UIS Dynamic template based on UIS Education Survey
AIR.2.GPV.GLAST.GPIA,BGD,2011,Source:Data sources,Source: UIS Dynamic template based on UIS Education Survey
AIR.2.GPV.GLAST.GPIA,BGD,2013,Source:Data sources,Source: UIS Dynamic template based on UIS Education Survey
AIR.2.GPV.GLAST.GPIA,BGD,2016,Source:Data sources,Source: UIS Dynamic template based on UIS Education Survey
AIR.2.GPV.GLAST.GPIA,BGD,2021,Source:Data sources,Source: UIS Dynamic template based on data provided by country
AIR.2.GPV.GLAST.GPIA,BGD,2022,Source:Data sources,Source: UIS Dynamic template based on data provided by country
AIR.2.GPV.GLAST.GPIA,BGD,2023,Source:Data sources,Source: UIS Dynamic template based on data provided by country
AIR.2.GPV.GLAST.GPIA,BGD,2024,Source:Data sources,Source: UIS Dynamic template based on data provided by country
AIR.2.GPV.GLAST.M,BGD,1998,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
AIR.2.GPV.GLAST.M,BGD,1998,Source:Data sources,NA
AIR.2.GPV.GLAST.M,BGD,1999,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
AIR.2.GPV.GLAST.M,BGD,1999,Source:Data sources,Country's submission to UIS SFE Questionnaire A
AIR.2.GPV.GLAST.M,BGD,2000,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
AIR.2.GPV.GLAST.M,BGD,2000,Source:Data sources,Country's submission to UIS SFE Questionnaire A
AIR.2.GPV.GLAST.M,BGD,2001,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
AIR.2.GPV.GLAST.M,BGD,2001,Source:Data sources,Country's submission to UIS SFE Questionnaire A
AIR.2.GPV.GLAST.M,BGD,2002,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
AIR.2.GPV.GLAST.M,BGD,2002,Source:Data sources,Country's submission to UIS SFE Questionnaire A
AIR.2.GPV.GLAST.M,BGD,2003,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
AIR.2.GPV.GLAST.M,BGD,2003,Source:Data sources,Country's submission to UIS SFE Questionnaire A
AIR.2.GPV.GLAST.M,BGD,2004,Data Status:Data reporting,POPULATION DATA: UN-DESA World Population Prospects 2024
